"Name","URL","Class","Status","Description"
"Appetas","http://appetas.com/",,"Acquired","Appetas is a service for restaurant owners to instantly create a beautiful restaurant website. In just seconds, Appetas builds a great looking restaurant site using the restaurant’s information and menu from public services. All the owner has to do is choose a design, add content, upload photos, and publish. They’re done in minutes and can manage the site anytime."
"Application Experts","http://www.app-x.com/",,"Active","Application Experts provides cloud based solutions for Alternative Asset Managers including fund managers, funds of funds, pensions, endowments, family offices, foundations, and non-profit organizations."
"Appsembler","http://appsembler.com/",,"Active","Appsembler lets you launch your own SaaS business in 5 minutes. With Appsembler, developers and software companies can quickly and cost effectively offer their software as a hosted service. Appsembler provides all the backend infrastructure like hosting, billing and operational support so you can avoid these things and instead focus on building a great product."
"AppSheet","http://www.appsheet.com/",,"Active","The DIY platform for mobile apps"
"Apptentive","http://www.apptentive.com/",,"Active","Apptentive creates in-app feedback tools, enabling developers to easily engage customers for positive ratings, feedback and customer research. The team, informed by their experiences at Microsoft, Yahoo!, and Apple, built their MVP in early 2011 and received enthusiastic feedback in its first few months from developers who were introduced to it at WWDC. Since that time, the team has grown, adding design and Android expertise and fleshing out capabilities that have measurably improved the ratings and reviews for apps using the service while creating one-to-one customer relationships. Basic integration takes less than 15 minutes and client-side SDKs are currently available for iOS, Android and Mac OS X. Apptentive’s customers range from independent one-person development teams to large, multinational Internet brands with huge app install footprints."
"Atlas","http://www.atlaswearables.com/",,"Active","Atlas is a fitness monitor that identifies your exercises, counts your reps and sets, calculates the calories burned and evaluates form"
"Atlas5D","http://www.atlas5d.com/",,"Active","Atlas5D provides an innovative solution for aging-in-place by directly measuring changes in how a person is moving in their own home – including activity, location, and speed – in real-time, without the use of photographs or worn devices. Our goals are to 1) provide family and friends with ongoing reassurance of how an older adult is doing, free of anxiety and embarrassment, along with 2) early warning to anticipate and head off a change-in-health crisis before it occurs."
"Augur","http://augur.io/",,"Active","We don't keep this page up-to-date. Email us to see what's up. "
"Avuba","http://www.avuba.de/",,"Active","Avuba develops a mobile banking solution that enables users to manage their monetary transactions and expenses"
"Azuqua","http://www.azuqua.com/",,"Active","Azuqua builds and operates enterprise web services that allow organizations to maximize the benefits of their investments in software as a service. Azuqua Flõ is a transformative platform and application experience to automate the web. Flõ enables unique new ways for corporations to unlock the promise of software as a service. Empower yourself to envision and create end to end processes that span the web, in minutes not months!"
"BagsUp","http://www.bagsup.com/",,"Active","BagsUp connects you to the experiences that your friends and the people they know are sharing on their social networks to help you find great places for a night out, weekend away or a next trip. We're changing how the world connects to advice. No longer do you need to trawl a web full of anonymous (or fake) reviews, you can now travel with the first hand knowledge of your friends, colleagues and connections."
"Bawte","www.bawte.com",,"Active","Manufacturers who sell through retail have no idea who their customers are. They lose out on any chance for loyalty and almost all cross sell and up sell opportunities. The best method to solve this problem to date has been product registration cards. The problem with the cards is that there is no value to consumers. Bawte drives the value to the consumer with alerts, messaging and info about the products consumers own. A points system encourages ongoing use and provides instant reward."
"Baydin","http://www.baydin.com/",,"Active","Baydin makes email management tools that help customers spend less time wrestling with email and more time doing meaningful work. Products by Baydin Boomerang for Gmail provides the same ability to receive a message when it is actually needed, as well as adding the ability to send an email at a scheduled time. Boomerang is also available for Outlook. The Email Game is the fastest, most fun way to manage your email. http://emailga.me Boomerang Calendar is a smart calendar assistant, built into Gmail and bridges the gap between Google Calendar and Gmail."
"BeehiveID","http://www.beehiveid.com/",,"Active","BeehiveID use facial recognition technology, along with social network analysis with private and public data sources to establish the Beehive ID Score - our measure of confidence that your users are backed by genuine, unique individuals. Beehive is based upon years of experience working with a wide variety of identity technologies, including social network analysis, face recognition, semantic text analysis, machine learning, sentiment analysis, and temporal profiling. Our identity score can be customized to a wide variety of use cases, validating a weak identity claim: “I am not a bot” all the way to a specific person: “I am John Smith who lives at 123 Main Street in Austin, TX”. Engagement with users can be accomplished via a single click to our service, allowing us to give you an identity score in near real time."
"Bench","http://bench.co/",,"Active","Bench is a modern, online bookkeeping service for independent businesses. With Bench, you work with a professional online bookkeeper, someone who learns your business and does your books for you. In addition, you get apps that simplify sending your documents and allow you to view interactive reports online. Bench removes the need to search out a qualified bookkeeper or buy additional software, they provide both in a unified experience."
"BirdBox","http://birdbox.com/",,"Active","All your photos and videos in one place, magically organized, searchable anywhere, and archived forever."
"Bison","http://www.bison.co/",,"Active","Bison is a financial technology company delivering software for analyzing private fund data. Bison’s Performance Calculator empowers users to quickly identify and understand performance of funds and portfolios relative to peer benchmarks and market indexes. The Bison Private Equity Monitor covers news, events, and performance data for fund managers and investors in the private equity and venture capital market. Established in 2011, Bison is based in Boston, MA and clients include pension plans, endowments, buyout and venture capital managers. Try our products free at www.bison.co."
"Bizible Marketing Analytics","http://www.bizible.com/",,"Active","Effective Inbound marketing and web presence optimization for local businesses. See changes in your traffic, ranking and presence with our optimization dashboard. Integrates online marketing channels and Adwords with Salesforce CRM."
"Bluebox Now","http://blueboxnow.com/",,"Failed","Bluebox Now! is a casual gaming network sponsored by brands, increasing brand engagement, customer retention and redemption of brand rewards, which means higher ROI for the brands. Our behavioral targeting technology matches right games and right rewards for the appropriate demographics. In other words, Blue Box Now is a service where brands can form 1:1 social relationships with consumers as an extension of their loyalty programs. They can provide exclusive daily rewards in exchange for data and direct/indirect social and financial return. Blue Box Now transforms traditional advertising into social games."
"Bondsy","https://www.bondsy.com/",,"Active","Bondsy is the social network of things. Revive your stuff and discover things you enjoy."
"BookingMarkets","http://www.dashbell.com/",,"Active","OpenTable for Independent Hotels"
"Boxella","http://lmgtfy.com/",,"Failed","Dropbox for your manuals and receipts. Boxella automatically tracks all your purchase documents, product updates and reminders - accessible anytime, anywhere!"
"Branching Minds","http://www.branchingminds.com/",,"Active","Branching Minds is a research-based online informal diagnostic and prescriptive tool that helps parents and educators understand how a child learns best and which educational tools will help them learn better."
"Brandfolder","https://brandfolder.com/",,"Active","Brandfolder is an easy to use, affordable (free in most cases) online solution for companies to organize and share their brand and marketing materials from one location. You can think of it as a visually organized Dropbox on one webpage that can be shared via one link, shows up in search results and can be embedded on or linked from a company's website. We aim to lead people to the right information as efficiently as possible."
"Brewbot","http://www.brewbot.io/",,"Active","Brewbot provides a controlled environment that frees up the brewer to focus on the ingredients. Recipe management is built right into the appliance which uses sensors to accurately control temperatures and timing. The smartphone software provides an insight into the brewing process in order to assist the brewer in making consistently high quality craft beer."
"Brightkite","http://www.brightkite.com/",,"Acquired","Use Brightkite to meet people around you, keep up with your friends, explore and discover new places. Brightkite is the real time social discovery network. 1 Million people use Brightkite’s free services every week, which are available to anyone, anywhere, worldwide. All you need is a mobile phone or Web browser to bring your friends together in the real world, wherever you may be. The award-winning company is headquartered in Burlingame, California. To learn more about using your phone as a social discovery tool, visit us at www.brightkite.com."
"BriteHub","https://britehub.com/",,"Active","We are the community that connects Entrepreneurs with Service Providers and Manufacturers to successfully get products to market through education, guidance, and effective communication."
"BuildersCloud","http://www.builderscloud.com/",,"Active","BuildersCloud makes sharing, accessing and working with construction documents incredibly easy. Top construction industry leaders have endorsed BuildersCloud for: •document and communication exchange between offices/field •patent-pending technology to process data in cloud (creates zero-latency in exchange of information) •instant SMS, Web, and Email sharing of critical updates (mobile, PC, tablets) •PDF, image and photo collaboration tools •remote productivity controls •customer-friendly and intuitive design"
"Burpy","http://www.burpy.com/",,"Active","Burpy is a same-day grocery delivery service that deploys a crowdsourced shopper to preferred local retailers to source the items our customers want. Our mobile and web apps are simple and intuitive, but powerfully accurate at connecting customers to the right products. In our system of proxy shopping, the customer can communicate with the shopper as frequently or be as hands-off as they like. We are creating an intelligent personal shopping experience, in which recommendations and painless reordering flow into delivery by Burpy Personal Shoppers the customer comes to know and trust."
"Buy Play Win","http://www.buyplaywin.com/",,"Failed","BuyPlayWin combines online shopping with tournament games. Buy products, play games, win a refund for the product. Every shopper gets a chance to win full refunds for everything they purchase by playing fun games against other shoppers. For example, buy a $120 college text book. Compete with six other people who are also buying the book. Win the game and you get the book for free. They use the profit margin in the product to pay for the winners purchase. If a product has a 33% profit margin they need three players to break even. With 10 purchasers they make a very nice profit."
"Cangrade","https://www.cangrade.com/",,"Active","Cangrade helps businesses hire the best people by uniquely combining predictive analytics with an easy to use candidate management system. Cangrade easily measures both hard and soft skills to fully evaluate a candidate. Then, based upon its unique cloud based Candidate Assessment Platform (CAP), Cangrade uses millions of real world data points to automatically grade every candidate and accurately predict future job performance. Reducing bad hires, Cangrade dramatically lowers hiring costs while boosting business performance. Cangrade, helping businesses hire the best people."
"Captimo","http://www.captimo.com/",,"Acquired","Captimo fuels social video campaigns for brands and fans on mobile and Facebook. Captimo’s mobile-video app helps users share their experiences socially with their favorite brands. With Captimo, brands can increase activity on their Facebook pages, and their fans can engage in a new, creative way. Users can shoot video via their mobile phones, tag their friends and location and even add in-video comments before automatically uploading the video to Facebook. Captimo’s innovative gaming mechanics make shooting, sharing and socializing video fun and rewarding. Captimo’s mobile/social video apps are available for iPhone, Android and Facebook."
"CaptureProof","https://www.captureproof.com/",,"Active","Show Your Symptoms to Your Doctor"
"Careport Health","www.careporthealth.com",,"Active","Careport Health is a company dedicated to networking patients with helpful post-hospital treatment. The company helps direct patients and family to learn about what type of care they may need, and what to expect during recovery, after filling in basic patient information. Patients can then search for post-hospital care providers and book care through Careport Health’s software. Hospitals can link into Careport Health’s network to help evaluate and manage patients, and connect them with the post-hospital care they will need. Finally, post-hospital care providers can connect with Careport Health to make themselves available to the company’s network and bring in additional business. They can also track patient progress.#sthash.SFJIaH8G.dpuf"
"CartCrunch","www.cartcrunch.com",,"Active","Create your smart shopping list and start saving money on your groceries today! CartCrunch helps shoppers save time and money. It’s simple! create your shopping list manually or scan your grocery receipts and CartCrunch will auto populate the shopping list for you according to the items on your receipt. Easily manage your shopping list and once you are ready to go on to your shopping trip, CartCrunch will find the best local supermarket for you to shop in. We give you the best shopping offers, personalized local coupons and circulars based on your shopping list and previous groceries receipts."
"Change Collective","http://www.changecollective.com/",,"Active","At Change Collective, our mission is to give people the tools to succeed with change. We are building a mobile-first course platform that helps people make changes that matter with the help of world-class experts."
"ChatID","http://www.chatid.com/",,"Active","ChatID creates new opportunities for brand engagement, conversion, and reduced customer support costs. Their technology extends businesses’ reach by offering frictionless text and chat communication regardless of their customers’ location. Enable Chat Everywhere –Give customers the ability to chat with company anywhere. –Use existing chat system. –Understand customers and learn how to better communicate with them."
"CheckIO","http://www.checkio.org/",,"Active","CheckiO is an interactive and educational game and competition platform for developers. For experienced developers CheckiO is a fun and challenging competition and a way to share their knowledge. For novice coders CheckiO has created a self tutoring community where code review and feedback are game elements. For IT companies it’s a unique opportunity to contact motivated, creative and talented coders and confirm their status as industry leaders."
"ChoreMonster","https://www.choremonster.com/",,"Active","ChoreMonster is a platform for web and mobile that makes chores actually fun for kids. With ChoreMonster, kids will beg to do their chores"
"Chroma Games","http://chroma.io/",,"Active","Chroma makes motion-powered apps. We use wearables such as the Nike FuelBand, and co-processor motion hardware, such as the Apple M7 chip, to create gaming experiences that reward users for being physically active. Our business model is based on corporate partnerships. We're currently working with Nike and Intel. The Chroma Team Mike spent 10 years at Panic Software where his team won 3 Apple design awards. (Mike is also a ""publicly traded"" individual who was recently featured in The Atlantic Monthly, Wired Magazine, and the Today Show.) Marcus designed and developed apps for fashion and music clients like Stella McCartney and Kanye West."
"Clarify","http://clarify.io/",,"Active","OP3Nvoice makes what was said, searchable. Our API, SDKs and plugins enable anyone to extract more knowledge from audio and video recordings. The API is in beta and is already being used by disruptors, innovators and some of the world’s largest institutions."
"ClassPass","http://classpass.com/",,"Active","ClassPass is a membership program for fitness classes across multiple gyms and studios, making working out more accessible. Since launching in early 2013, ClassPass has facilitated over 60,000 reservations at 1,000 different classes in the New York market. ClassPass members enjoy greater variety and engagement in their fitness regime, all at a lower price than if they were to book classes individually on their own. Participating studios benefit by attracting new students and profitably filling excess capacity in classes."
"ClassWallet","https://www.classwallet.com/",,"Active","ClassWallet is the first virtual wallet created for schools. ClassWallet empowers teachers to use free, consumer-grade technology to replace a system that relies on cash, checks, and interoffice envelopes. Through ClassWallet, administration, parents and vendors connect with teachers for peer-to-peer funding and purchasing for anything from supplies to technology to field trips. Because the entire process is digital, everything is cashless, trackable, and transparent. More than 40 of the top education vendors accept ClassWallet for payment. ClassWallet has already processed more than $6 million through the platform."
"ClauseMatch","http://www.clausematch.com/",,"Active","ClauseMatch is providing a cloud platform for negotiation and management of smarter contracts. Winners of BBVA Open Talent Challenge 2014 and semi-finalists of the SWIFT Innotribe Challenge 2014. Having spent a decade negotiating legal agreements for banking and energy industries, we wanted to fix the broken and fragmented process that has not seen innovation in 20 years. By providing in-house lawyers with a single, transparent workflow and legal risk evaluation tools, ClauseMatch reduces legal costs and allows crucial information to be extracted from contracts in a new, smart way. Our test users span across UK and Continental Europe, we are in partnership talks with Thomson Reuters and Barclays has signed on to trial our platform."
"Cloud 66","https://www.cloud66.com/",,"Active","Cloud 66 provisions and manages your servers on any cloud. It reduces the need for highly skilled SysOps and complex configuration management systems like Chef and Puppet."
"Cloudability","https://cloudability.com/",,"Active","Manage all your cloud spending in one place, eliminate waste and grow with confidence."
"CloudOptions","http://www.cloudopt.com/",,"Active","Futures trading for Cloud Computing. We allow users of cloud infrastructure as a service (e.g. Amazon Web Services) to ""trade cloud"" with us, so that they can agree a fixed price, in advance, for set amounts of cloud computing resources."
"Cloudsnap","http://cloudsnap.com/",,"Failed","Cloudsnap provides users with the ability to easily integrate multiple web apps and services together, without having to worry about their underlying APIs."
"Clutch Prep","http://www.clutchprep.com/",,"Active","Clutch Prep helps college students get better grades with in-depth, textbook-specific video courses. We are laser-focused on growing online. We want to become the go-to place for specific academic content. We’re currently free online, but will start freemium in October ($20+/month to access premium content). Prior to TechStars, we built an in-person, group tutoring business at Florida Int’l Univ. (FIU, Miami). We have generated $1.2+ MM in total revenue. Now 75+% of our FIU revenue comes from FIU videos."
"CoachBase","http://www.coachba.se/",,"Active","CoachBase develops mobile applications and provides content for sport coaches. Its core product is the coach’s clipboard available on iOS, Mac, Android, Windows 8 and Blackberry 10. It also has a cloud platform that allows for sharing of plays and drills. A Nike accelerator company powered by Techstars."
"CoachUp","https://www.coachup.com/",,"Active","CoachUp helps athletes achieve their full potential in sports by connecting them with great private coaches. CoachUp is the Official Private Coaching Partner of the Positive Coaching Alliance, and is the nation’s leading private coaching company, with thousands of vetted private coaches across the country, in every sport. Benefits of CoachUp’s service include: • Search by city and sport to easily find coaches near you • Knowledgeable Athlete Advisors help you find your perfect coach • High-quality, vetted coaches • CoachUp coaches provide personalized feedback after every session • 100% money-back guarantee! Private coaching is proven to be the best way to improve in sports. To find a great private coach in your area, to learn more about the benefits of private coaching, or to apply to become a coach, please visit CoachUp.com today."
"Codarica","http://codarica.com/about/",,"Active","We really enjoy working with kids and believe that they have infinite potential to excel and thrive at whatever their hands touch as long as they are taught it in the right way. Storytelling is our passion, and through entertaining graphics and relatable characters we aim to take your children on a magical adventure through the World Wide Web. Most importantly, we want children to have fun as they learn! With twice as many synapses in their brains and with ever-increasing exposure to second languages, children are even quicker to catch on these days. Codarica aims to harness that fact and teach the language of the future – Code."
"Codeanywhere","https://codeanywhere.com/",,"Active","Codeanywhere is a collaboration platform for developers. Enabling them to share their files, folders or entire development environments to collaborate together in realtime. Think of it as Google Docs for developers."
"CodeMentor","http://www.codementor.io/",,"Active","Codementor connects you with experienced mentors for instant help via screen sharing, video, and text chat. Get instant help from experts for topics including Ruby, Python, PHP, JavaScript, CSS/HTML, iOS, and more. Codementor helps you overcome key challenges with timely advice and speeds up your development process."
"Codeship","https://www.codeship.io/",,"Active","Codeship helps teams ship better software faster by automating the release process. We offer Continuous Deployment as a service to every software company. We offer hosted continuous integration and deployment for your web apps. You have a rails, php, python, java or go project you want us to handle? Go ahead and give it a try. You can test codeship for free!"
"CodeStarter","https://codestarter.org/",,"Active","Codestarter is the first nonprofit accepted into Techstars, and we are so proud to be a part of the Techstars family. At Codestarter, we focus on getting laptops (Acer C720s running Linux) into the hands and homes of kids who want to learn to code, but who don’t have their own hardware. To do this, we partner with organizations that teach programming, such as CoderDojo. These programs are instrumental for developing the next generation of thinkers and builders, but these classes only scratch the surface and create exposure to coding. Giving a child ownership of her own laptop emboldens her to immerse herself in learning. Plus, it’s hard to become a hacker when you only get to code for an hour once a week on a borrowed piece of equipment. On our website (codestarter.org), we crowdfund one laptop at a time. Every time we hit $250 in donations, we will ship a Chromebook pre-loaded with Linux to a child who is waiting to enroll in a programming class. When the child receives her laptop, she’ll send you a thank-you note, and you’ll get quarterly updates on her progress for the first year as she learns to code. We want to provide complete transparency, so we’ll also give you access to our evaluation data. This way you can check in and see the long-term impact of giving laptops to kids and empowering them to code. Think back to when you got your first computer. How old were you? Did that opportunity make a difference in your life? If it did, and you or your company wants to give that same opportunity to some really great kids, join us! At Codestarter, we want to ensure that every child has the opportunity to learn how to code. And it all starts with a computer."
"Cognotion","http://www.cognotion.com/",,"Active","Cognotion is focused on corporations experiencing tremendous pain with their Millennial employees, starting in the hospitality industry. We address underperformance and churn rate through interactive gaming that young people understand and that result in measurable behavioral change."
"Colatris","http://www.colatris.com/",,"Active","We're breaking down language barriers so that organizations can reach an international audience. Localization solutions, as they exist today, are broken. Our solution claims responsibility for multi-lingual support and global market reach. Implementation of the SDK takes about 10 minutes. No stripping out of strings. No micro-managing via a 3rd party medium. No rebuilding of your software to assure quality and provide feedback. Verify real-time results of your translators and push directly to your end users without being forced to apply for an update from the app store. Build your product once and expand to new languages as you please. We believe that our customers should focus on what they do best... shipping quality product on schedule. Maintenance of multiple versions of content, further complicated by lingual intricacies, is a concern that dilutes attention from the core development initiative. The heaviness, and often overwhelming, task of servicing content translation and meeting the needs of an increasingly diverse user base is a pain point that we intend to remove from the situation entirely. - See more at: http://www.crunchbase.com/organization/col-tris#sthash.1MeBuov3.dpuf"
"Common Form","https://common-form.com/",,"Active","Taxes in 5 minutes from your phone or computer."
"Concert Window","http://www.concertwindow.com/",,"Active","Concert Window is an online music venue where musicians broadcast live shows to earn money and meet new fans. Playing a show requires nothing more than a laptop, and thousands of musicians – from Grammy winners to American Idol contestants – are using the platform to create memorable real-time experiences for their fans."
"Condition One","http://www.conditionone.com/",,"Active","Condition ONE is a technology company developing next generation immersive video applications. They provide an embeddable immersive video player for the iPad, which is licensed to media companies and brands."
"Conductrics","http://www.conductrics.com/",,"Active","Conductrics is intelligent Decisions as a Service. Combining ideas from web analytics, machine learning, and economics, Conductrics provides a simple API for improving the effectiveness of your site or digital app."
"Conspire","http://goconspire.com/",,"Active","Understand your network. Get detailed analytics on each of your contacts. See exactly how you communicate with each other. Unlock your extended network. Conspire knows who has strong ties to whom. Find the best path in your extended network to reach any person or company."
"Contently","http://contently.com/",,"Active","Contently is a platform for brands to craft, maintain, and optimize a high quality content strategy with editorial tools and engagement tracking, plus career journalists and clever professional bloggers for hire"
"Continuum Fashion","http://www.continuumfashion.com/",,"Active","Part fashion label, part technology design lab, Continuum Fashion is at the cutting edge of creating personal objects with digital technologies. We are known for creating 3D printed textiles (the N12 bikini) and creating new methods of garment production (CONSTRVCT). We also are the makers of the D.dress and strvct shoes."
"CoolChip Technologies","http://coolchiptechnologies.com/",,"Active","CoolChip is a fast-growing startup commercializing an innovative cooling technology for consumer & enterprise electronics. The Company is backed by industry leaders and a world-class team of MIT engineers. The Company seeks to disrupt a multi-billion dollar industry by delivering a significantly better consumer experience across devices. Over the last four decades, everything in computing has changed. Everything but the fan-cooler. Electronics cooling is dominated by archaic technology. Thermal is a critical bottleneck and state-of-the-art solutions have not kept up. Computing hit a thermal brick wall a long time ago. κinetic cooling is the next-generation in thermal - smaller, quieter, cooler. Compared with conventional approaches, CoolChip’s patented & patent-pending κinetic cooler technology delivers significant advantages across all dimensions."
"coUrbanize","http://www.courbanize.com/",,"Active","coUrbanize helps real estate developers reduce project delays & speed the approval process with a community engagement & analytics platform. coUrbanize tracks the process of real estate development and planning projects and gathers public input from users with verified accounts in a data-driven, fact-based platform to add transparency to the decision-making process."
"Creative Brain Studios","http://creativebrain.com/games/",,"Failed","Creative Brain Studios creates tools that enable developers to create and deploy games to all the popular smart phones, tablets and PC’s. Create Once, Deploy Everywhere! Our highly customizable editor enables developers from the indie developer who is just starting out to the professional developer looking to augment their tools pipeline with a simple drag and drop creation tool leveraging HTML 5 and Javascript to deploy a game to virtually any mobile device or computer that supports HTML 5. We reduce development time. Offer true multi-platform support. A true turn-key solution."
"CreatorBox","https://www.creatorbox.com/",,"Active","Group of passionate parents, and educational technologists, who have come together to with one goal: to inspire our future creators"
"Crowdestates","http://www.crowdestates.com/",,"Active","Crowdestates enables people to borrow money for their home. We are starting with the home improvement market in 2014 (£1bn p.a. market), moving into the home deposit market in 2015 and finally moving into financing whole mortgages in 2016 (£140bn p.a. market). Borrowers create a project page and invite family and friends to back them. They pay a lower rate of interest to family and friends than other lenders so they are strongly incentivized to get them on board. The network effect helps reduce customer acquisition costs for the platform. The validation of a borrower by family and friends also provides us with a tool to assess creditworthiness which is not available to other financial organisations. The borrowing is secured against the property which provides 3rd party lenders with additional security and improves the overall return compared to unsecured P2P lending platforms. The introduction of a secondary market in 2015 will provide lenders with an exit strategy in the event that they need liquidity."
"Crowdly","http://www.crowdly.com/",,"Active","Crowdly is the leading Advocate Management Platform for Facebook that allows big brands to find and rank their top advocates within their brand communities, more effectively engage them, and motivate them into action. Crowdly is the only platform that shows brands the lifetime influence of their top fans and a complete history of fans’ interactions over time, while powering authentic ways to provide them with a unique and personalized experience on Facebook"
"CrowdTwist","http://crowdtwist.com/",,"Active","Founded in 2009, CrowdTwist provides the most advanced multi-channel Customer Relationship & Loyalty Platform on the planet for leading brands such as Pepsi, Miami Dolphins, Sony Music, Zumiez and more. Their white label, SaaS technology gives marketers the ability to incentivize, recognize and reward people based on their combined engagement, social influence and spend - online and off. From purchases and likes, to check-ins, follows, shares and more, CrowdTwist is revolutionizing the way marketers drive awareness, increase acquisition, improve retention, build loyalty, facilitate advocacy and measurably impact their bottom lines."
"Crowsnest Labs","https://www.crowsnest.io/",,"Active","Crowsnest is building tools for error reporting and diagnostics of internet-connected products. At any time a VP of Product can login to their Crowsnest dashboard and see - out of all of the products that are deployed around the world - how many are crashing, which ones they are, and even the detailed technical logs associated with each crash. This information empowers customer service teams to take a proactive approach to solving issues and greatly improve customer experience."
"Cuecard","http://pansieve.com/",,"Failed","Pansieve is the maker of cuecard, a tool which brings together the power of mobile devices and web services to gather data on customized digital forms and consume the information on them. It transforms the field data gathering and processing activity into a powerful tool to keep a pulse on the business."
"DailyBurn","http://dailyburn.com/?s1",,"Acquired","Dailyburn (formerly known as Gyminee) is a fitness social network for detailed tracking, online accountability, and motivation. DailyBurn motivates both health seekers and fitness enthusiasts to achieve better fitness results in less time. DailyBurn’s “platform for fitness” includes a social web application for tracking exercise and nutrition, mobile tracking applications for iPhone and other mobile devices, and an API that allows third-party fitness sensors to push fitness data automatically."
"Dash Labs","https://dash.by/",,"Active","DASH is a privately owned company, based in New York City. Our product is a powerful utility that provides diagnostics and insights into your driving habits. It make your car smarter, safer and more affordable."
"Data Everywhere","https://www.dataeverywhere.com/",,"Active","Data Everywhere makes it safe to run your business on Excel by making it easy to share data between spreadsheets. Install our add-on, highlight the spreadsheet cells you need to share, click publish, and a Feed of your data is now available to spreadsheets and other applications. You can safely rename, reorganize, or move the source file, and the data will remain synchronized. Data Everywhere even connects Excel files on a desktop to Google Sheets files; as the Excel users update their desktop data, Data Everywhere will provide a Feed of that data to Google Sheets."
"Databox","http://databox.com/",,"Active","Databox is the first mobile-only executive dashboard. The mission of Databox is to help executives stay connected to the key metrics that are driving their businesses so that they can make better decisions faster. Most BI applications are still built to run on computers and tablets, not smartphones. By delivering metrics that matter right to your iPhone, executives - who spend most of their time outside their offices - are always in control. Databox is not about Big Data. It’s about getting you the right data at the right time."
"DataRobot","http://datarobot.com/",,"Active","Predictive analytics in the cloud."
"DealAngel","http://www.dealangel.com/",,"Acquired","DealAngel.com is a highly visual travel deal search engine with powerful analytical elements that makes finding great travel deals easier, more effective, and more fun. DealAngel is presently in private beta, with public launch scheduled for April. Get ready to be blown away by a new and powerful way to find the best travel deals."
"Degreed","http://degreed.com/",,"Active","Degreed scores and organizes users formal (e.g. Harvard) and informal (e.g. iTunes U, MITx, Khan, etc.) enabling users to unlock employment and learning opportunities."
"Designlab","http://trydesignlab.com/",,"Active","We teach web design skills through fun, interactive lessons online"
